Steps,Policy/Entropy,Environment/Episode Length,Self-play/ELO,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Losses/Q1 Loss,Losses/Q2 Loss,Policy/Entropy Coeff,Policy/Learning Rate,Is Training
6300000,0.31560493,3.3209847036328872,1200.2475445749596,0.04455989,0.19293868037293807,0.19293868037293807,0.089912795,-0.014760674,0.04176075,0.04117115,0.10519333,9.93709e-06,1.0
6320000,0.27209583,3.762142857142857,1331.0683508634302,-0.017237408,0.04438244047619048,0.04438244047619048,0.08940237,0.01656908,0.04045822,0.041435998,0.107669726,9.936901e-06,1.0
6340000,0.25403774,3.5047297297297297,1368.7405060804326,0.148127,0.15171734234234235,0.15171734234234235,0.072636314,-0.13369511,0.032585055,0.033156417,0.10986532,9.936701e-06,1.0
6360000,0.21747477,3.0203015075376882,1479.3862802554684,-0.1011064,-0.09692211055276381,-0.09692211055276381,0.09298821,0.1005779,0.043907356,0.044434402,0.11199879,9.936501e-06,1.0
6380000,0.26569477,3.443888888888889,1531.2853208790625,0.011710571,0.04613194444444445,0.04613194444444445,0.07381458,-0.012950939,0.03413697,0.034827165,0.11385056,9.936301e-06,1.0
6400000,0.22615166,3.3497172683775553,1585.1848589596436,0.014038272,-0.01971645280556764,-0.01971645280556764,0.0887979,-0.0075678215,0.04172438,0.04167005,0.11594549,9.9361e-06,1.0
6420000,0.28972003,3.7170990566037734,1661.6839041247963,0.014800687,-0.01920695754716981,-0.01920695754716981,0.0810045,-0.026417637,0.038322035,0.03769958,0.117831305,9.9359e-06,1.0
6440000,0.32314613,4.970149253731344,1771.4330873685753,-0.17789532,-0.0927828358208288,-0.0927828358208288,0.11021501,0.18756193,0.049747817,0.050944388,0.11916922,9.9357e-06,1.0
6460000,0.35394967,5.277150031387319,1775.0252681264826,-0.12919185,-0.16706881669805398,-0.16706881669805398,0.096824415,0.1706694,0.044590056,0.0452154,0.12054652,9.9355e-06,1.0
6480000,0.32347518,4.668886370076509,1936.5600963698362,-0.10100367,-0.16390089260413715,-0.16390089260413715,0.11447199,0.14094475,0.05290445,0.053686425,0.12239136,9.935301e-06,1.0
6500000,0.3766893,4.925607587433314,1865.4214587805768,-0.34125945,-0.3168531416716064,-0.3168531416716064,0.11288212,0.33068952,0.05206684,0.05391086,0.12303786,9.935101e-06,1.0
6520000,0.3856136,5.494480519480519,1951.2479375437,-0.29657358,-0.2583096590909091,-0.2583096590909091,0.099937364,0.2726206,0.04597612,0.048087753,0.123795025,9.9349e-06,1.0
